Unnamed: 0,Unnamed: 1,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Unnamed: 11
1,,Among Us,6995667360,128191200,478904,9273,337331,163534,2988,800.0,
2,,NBA 2K21,843817740,53163120,27702,6215,65892,19581,1233,-43.43,
3,,Teamfight Tactics,599776560,10891500,25026,1152,16955,14305,261,3.84,
4,,Crusader Kings III,458409780,6137460,30086,730,8680,10637,143,-10.0,
5,,Path of Exile,408452760,7747680,115285,3347,7218,9725,185,3.71,
6,,Phasmophobia,385630140,6360660,150545,2034,18613,8939,147,250.0,
7,,Genshin Impact,363271680,18184620,211942,5755,46227,8421,421,300.0,
8,,Spellbreak,339519180,21941820,67486,1464,64153,7871,509,100.0,
9,,Spelunky 2,331840680,1317240,60318,353,3158,7692,30,400.0,
10,,Hades,326653200,5140020,50400,484,11671,7576,119,200.0,
11,,Counter-Strike,322787580,-2481480,-6515,94,-3409,9650,-9,7.03,
12,,Mafia: Definitive Edition,311525460,4018680,142034,1433,8785,7231,93,-918.27,
13,,DayZ,307947660,5463300,-36770,241,6568,7324,133,10.65,
14,,Marvel's Avengers,297961740,20894160,97124,1698,20948,7007,487,-22.67,
15,,FIFA 21,268372620,544260,280839,830,2505,6222,13,426.62,
16,,Call of Duty: Black Ops Cold War,266801520,5469540,704402,6956,18873,6185,127,44.54,
17,,Rocket League,257674260,13216980,-46324,2386,68811,6412,328,-0.2,
18,,Tony Hawk's Pro Skater 1+2,249919740,5297880,105650,976,21972,5799,123,17.91,
19,,Super Mario 3D All-Stars,141913440,4887420,45152,1571,14467,3289,113,29.04,
20,,Watch Parties,129914220,1800660,61752,126,9055,3022,42,18.15,
21,,Conan Exiles,114565500,2685300,-6827,254,2765,2682,63,14.22,
22,,Lost Ark,111561000,1395540,-11380,112,1269,2820,34,-6.15,
23,,Medieval Dynasty,109562100,2011800,33742,244,3411,2539,46,54.46,
24,,Cricket,90932160,65880,187241,33,596,2108,1,1193.75,
25,,Madden NFL 21,88082100,13619520,-2829,113,23073,2134,320,-9.84,
26,,Black Desert,85735140,1852440,14454,214,1859,2161,49,3.44,
27,,Sports,75018180,214920,83374,-30,562,1875,7,23.39,
28,,Kingdoms of Amalur: Reckoning,73408440,1524180,61385,258,2952,1702,35,43.35,
29,,Left 4 Dead 2,67278060,2494380,45005,682,12108,1572,59,10.2,
30,,The Witcher 3: Wild Hunt,63257700,394920,-62937,26,275,1521,13,10.87,
31,,StarCraft II,56950320,-833040,22693,-19,-626,1507,-16,25.76,
32,,Night of the Dead,52264980,1308780,-7546,27,1813,1227,30,-29.04,
33,,Project Winter,46481880,70080,52827,11,109,1091,2,145.92,
34,,Dark Souls,44649840,-245580,16907,-2,-312,1073,-3,14.08,
35,,Craftopia,43714500,2473200,29894,415,6008,1013,57,11.3,
36,,BPM: BULLETS PER MINUTE,42516660,781380,68598,149,3276,985,18,53.4,
37,,Super Mario 64,41446800,695760,-72102,93,3046,1000,18,8.45,
38,,Squad,40754460,577500,25980,115,1573,951,14,20.61,
39,,Diabotical,40473120,1553520,28844,11,3068,942,36,10.02,
40,,MapleStory,40233960,-183360,9645,-17,166,1036,-1,10.73,
41,,Age of Empires II,39444600,549180,398,80,905,916,13,46.73,
42,,StarCraft,37698780,63780,-4515,7,82,908,2,39.1,
43,,Dark Souls II,37437660,440220,11076,54,891,876,10,30.74,
44,,SCUM,35570160,554160,3622,30,298,837,14,15.67,
45,,Super Mario Sunshine,35187840,903000,17547,122,3507,824,22,9.79,
46,,Serious Sam 4,34831740,721560,52454,335,2059,807,16,45.93,
47,,Miscreated,34474260,138420,43929,16,284,800,3,137.2,
48,,Poker,34337400,-30900,-47202,19,-459,1100,3,7.92,
49,,The Long Drive,33790080,102120,53814,10,338,784,2,272.79,
50,,Magic: The Gathering,32857200,72540,14988,69,352,972,5,5.24,
